Timestamp,FLAGS,CO2,CO2_UNCOMP,PM1.0,PM2.5,PM4.0,PM10,PN0.5,PN1.0,PN2.5,PN4.0,PN10.0,TempC,RH,VOC,NOX,PRESSURE
1763370475,3,489,491,1.90,2.20,2.29,2.40,12.30,14.80,15.00,15.10,15.10,22.09,36.63,0,0,1015
1763370673,3,511,513,2.08,2.50,2.79,2.90,13.00,15.89,16.29,16.39,16.39,22.02,35.81,0,0,1015
1763370871,3,504,506,1.20,1.70,2.00,2.20,7.30,9.30,9.69,9.80,9.80,21.93,35.72,0,0,1015
1763371069,3,516,518,1.29,1.79,2.29,2.50,7.30,9.50,10.00,10.10,10.10,21.88,35.54,0,0,1015
1763371267,3,513,515,0.80,1.39,2.00,2.20,3.59,5.30,5.90,6.00,6.09,21.81,35.52,0,0,1015
1763371465,3,497,498,2.00,2.50,3.00,3.09,12.00,15.00,15.50,15.60,15.60,21.78,35.61,0,0,1015
1763371663,3,525,527,3.29,4.09,4.59,4.90,20.50,25.39,26.10,26.20,26.20,21.73,35.38,0,0,1015
1763371861,3,516,518,1.90,2.90,3.70,4.09,10.19,13.69,14.69,14.80,14.89,21.70,35.45,0,0,1015
1763372059,3,531,533,1.10,1.10,1.10,1.10,7.19,8.50,8.50,8.50,8.50,21.65,35.38,0,0,1015
1763372257,3,514,516,1.39,1.79,2.00,2.20,8.69,10.80,11.10,11.19,11.19,21.65,35.56,0,0,1015
1763372455,3,515,516,3.50,4.90,5.90,6.40,20.50,26.20,27.50,27.79,27.79,21.62,35.81,0,0,1015
1763372653,3,1217,1220,1.20,1.79,2.08,2.29,7.19,9.19,9.69,9.80,9.80,21.68,37.15,0,0,1015
1763372851,3,2106,2113,1.20,1.60,2.00,2.08,6.80,8.69,9.10,9.19,9.19,21.79,36.72,0,0,1015
1763373049,3,2575,2583,0.70,0.80,0.80,0.80,4.90,5.80,5.80,5.80,5.80,21.91,36.95,0,0,1015
1763373247,3,3090,3099,0.60,1.10,1.50,1.70,3.09,4.40,4.90,5.00,5.00,22.00,36.93,0,0,1015
1763373445,3,3482,3488,0.60,1.10,1.50,1.70,3.20,4.50,5.00,5.09,5.09,22.15,35.97,0,0,1014
1763373643,3,3516,3527,0.70,0.70,0.70,0.70,4.40,5.19,5.19,5.19,5.19,22.23,35.74,0,0,1015
1763373841,3,3649,3659,1.20,2.29,3.20,3.59,5.90,8.69,9.69,9.89,9.89,22.30,36.50,0,0,1015
1763374039,3,725,727,0.80,1.29,1.60,1.79,4.69,6.19,6.59,6.69,6.69,22.40,35.75,0,0,1015
1763374237,3,654,656,1.29,1.70,2.08,2.29,7.40,9.39,9.89,9.89,9.89,22.50,35.97,0,0,1014
1763374435,3,467,468,1.50,2.00,2.40,2.50,9.19,11.50,12.00,12.00,12.10,22.56,34.52,0,0,1014
1763374633,3,474,475,1.90,2.00,2.00,2.00,12.60,15.00,15.00,15.00,15.00,22.59,35.13,0,0,1014
