Timestamp,FLAGS,CO2,CO2_UNCOMP,PM1.0,PM2.5,PM4.0,PM10,PN0.5,PN1.0,PN2.5,PN4.0,PN10.0,TempC,RH,VOC,NOX,PRESSURE
1730937960,3,998,998,5.2,6.4,7.2,7.6,31.8,39.4,40.5,40.7,40.8,18.16,52.8,0,0,1008
1730938158,3,1040,1040,4.5,4.7,4.7,4.7,29.5,35.2,35.3,35.3,35.3,18.01,53.2,0,0,1008
1730938356,3,1073,1073,5.6,6.1,6.3,6.5,35.8,43.2,43.6,43.7,43.7,17.98,53.2,0,0,1008
1730938554,3,1048,1048,1.8,3.0,3.9,4.3,9.3,12.8,14.0,14.2,14.2,17.95,53.1,0,0,1009
1730938752,3,921,921,0.8,1.1,1.4,1.6,4.3,5.7,6.0,6.1,6.1,17.91,53.2,0,0,1009
1730938950,3,913,913,1.4,2.1,2.6,2.9,7.7,10.1,10.8,11.0,11.0,17.92,53.1,0,0,1009
1730939148,3,866,866,1.8,4.7,7.0,8.2,5.6,11.0,14.0,14.6,14.7,17.90,53.0,0,0,1009
1730939346,3,845,845,1.4,1.5,1.5,1.5,9.3,11.1,11.1,11.1,11.1,17.89,53.0,0,0,1009
1730939544,3,825,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91,52.9,0,0,1009
1730939742,3,806,806,0.6,1.5,2.2,2.6,2.2,3.9,4.9,5.1,5.1,17.89,53.0,0,0,1009
1730939940,3,813,813,0.7,1.0,1.3,1.4,3.6,4.8,5.2,5.3,5.3,17.91,52.9,0,0,1009
1730940138,3,799,799,0.7,1.5,2.1,2.4,3.0,4.7,5.5,5.7,5.7,17.89,52.9,0,0,1009
1730940336,3,800,800,0.7,0.7,0.7,0.7,4.4,5.2,5.3,5.3,5.3,17.91,52.8,0,0,1008
1730940534,3,776,776,1.3,1.4,1.4,1.4,8.5,10.1,10.1,10.1,10.1,17.92,53.0,0,0,1009
1730940732,3,757,757,0.7,1.6,2.4,2.8,2.3,4.2,5.2,5.4,5.4,17.93,53.4,0,0,1009
1730940930,3,800,800,1.4,1.9,2.1,2.3,8.7,10.9,11.3,11.4,11.4,17.99,54.0,0,0,1012
1730941128,3,866,866,0.8,0.8,0.8,0.8,5.0,5.9,6.0,6.0,6.0,18.07,54.3,0,0,1013
1730941326,3,931,931,0.7,0.7,0.7,0.7,4.7,5.6,5.6,5.6,5.6,18.13,54.5,0,0,1013
1730941524,3,936,936,0.7,0.7,0.7,0.7,4.4,5.3,5.3,5.3,5.3,18.22,54.6,0,0,1014
1730941722,3,948,948,0.7,0.9,1.1,1.2,4.2,5.3,5.5,5.6,5.6,18.29,54.8,0,0,1015
1730941920,3,960,960,0.7,0.7,0.7,0.7,4.6,5.4,5.5,5.5,5.5,18.38,54.6,0,0,1011
1730942118,3,945,945,0.7,0.9,1.0,1.1,3.9,5.0,5.2,5.2,5.2,18.44,54.5,0,0,1006
1730942316,3,920,920,0.7,1.2,1.6,1.8,3.5,4.9,5.4,5.5,5.5,18.55,54.2,0,0,1001
1730942514,3,910,910,0.7,0.7,0.7,0.7,4.6,5.5,5.5,5.5,5.5,18.59,54.1,0,0,1004
1730942712,3,895,895,0.7,0.7,0.7,0.7,4.5,5.4,5.4,5.4,5.4,18.69,54.0,0,0,1004
1730942910,3,890,890,0.6,2.4,3.8,4.6,0.3,3.0,4.9,5.2,5.3,18.75,53.7,0,0,1001
1730943108,3,873,873,1.5,2.3,2.9,3.2,8.3,11.0,11.8,11.9,12.0,18.80,53.5,0,0,1002
1730943306,3,870,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,53.4,0,0,1005
1730943504,3,885,885,8.5,10.4,11.6,12.2,52.6,65.0,66.8,67.1,67.2,18.91,52.5,0,0,1005
1730943702,3,843,843,0.8,0.8,0.8,0.8,5.2,6.2,6.2,6.2,6.2,18.95,50.5,0,0,1004
1730943900,3,837,837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08,50.7,0,0,1004
1730944098,3,850,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,50.5,0,0,1005
1730944296,3,877,877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,50.7,0,0,1005
1730944494,3,831,831,0.7,1.2,1.6,1.8,3.5,5.0,5.5,5.6,5.6,19.27,49.9,0,0,1006
1730944692,3,712,712,0.6,0.8,0.9,0.9,3.6,4.5,4.7,4.7,4.7,19.33,49.6,0,0,1005
1730944890,3,756,756,0.5,1.3,1.9,2.2,2.0,3.5,4.3,4.4,4.5,19.36,49.2,0,0,1005
1730945088,3,832,832,0.7,0.7,0.7,0.7,4.4,5.2,5.2,5.2,5.2,19.41,49.6,0,0,1005
1730945286,3,851,851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.39,50.2,0,0,1005
1730945484,3,858,858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,50.6,0,0,1005
1730945682,3,869,869,0.5,2.9,4.9,5.9,0.0,1.7,4.2,4.7,4.8,19.29,51.0,0,0,1005
1730945880,3,842,842,0.7,0.7,0.7,0.7,4.6,5.5,5.5,5.5,5.5,19.23,51.1,0,0,1005
1730946078,3,839,839,1.6,1.7,1.7,1.7,10.4,12.4,12.5,12.5,12.5,19.18,50.9,0,0,1005
1730946276,3,840,840,0.8,0.8,0.8,0.8,5.1,6.0,6.1,6.1,6.1,19.14,51.0,0,0,1005
1730946474,3,869,869,0.6,1.1,1.5,1.7,2.8,4.1,4.6,4.7,4.7,19.12,51.2,0,0,1005
1730946672,3,861,861,0.6,3.0,5.0,6.0,0.0,1.7,4.3,4.8,4.9,19.07,51.5,0,0,1005
1730946870,3,949,949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,51.6,0,0,1005
1730947068,3,968,968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,51.8,0,0,1005
1730947266,3,971,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,52.0,0,0,1005
1730947464,3,984,984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,52.2,0,0,1005
1730947662,3,1017,1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,52.3,0,0,1005
1730947860,3,1041,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.06,52.5,0,0,1005
1730948060,3,1075,1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,52.6,0,0,1005
1730948258,3,1099,1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08,52.8,0,0,1006
1730948456,3,1142,1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.09,52.9,0,0,1006
1730948654,3,1166,1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08,53.0,0,0,1005
1730948852,3,1214,1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11,53.1,0,0,1006
1730949050,3,1230,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.09,53.2,0,0,1006
1730949248,3,1249,1249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,53.2,0,0,1006
1730949446,3,1297,1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11,53.4,0,0,1006
1730949644,3,1257,1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,53.4,0,0,992
1730949842,3,1187,1187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,53.4,0,0,956
1730950040,3,1163,1163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,53.4,0,0,933
1730950238,3,1130,1130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,53.5,0,0,911
1730950436,3,1114,1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,53.5,0,0,892
1730950634,3,1074,1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.16,53.5,0,0,875
1730950832,3,1057,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.17,53.5,0,0,859
1730951030,3,1054,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15,53.7,0,0,866
1730951228,3,1079,1079,0.6,0.6,0.6,0.6,3.8,4.6,4.6,4.6,4.6,19.17,53.7,0,0,866
1730951426,3,1055,1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19,53.7,0,0,866
1730951624,3,1083,1083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.20,53.8,0,0,867
1730951822,3,1099,1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,53.8,0,0,867
1730952020,3,1098,1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,53.8,0,0,867
1730952218,3,1087,1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,53.8,0,0,867
1730952416,3,1104,1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24,53.8,0,0,867
1730952614,3,1102,1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,53.9,0,0,867
1730952812,3,1123,1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,53.9,0,0,867
1730953010,3,1123,1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,53.8,0,0,867
1730953208,3,1116,1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28,53.8,0,0,867
1730953406,3,1105,1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26,53.8,0,0,867
1730953604,3,1133,1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,53.8,0,0,867
1730953802,3,1128,1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26,53.8,0,0,867
1730954000,3,1148,1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,53.8,0,0,867
1730954198,3,1150,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.30,53.7,0,0,867
1730954396,3,1150,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29,53.7,0,0,867
1730954594,3,1155,1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29,53.8,0,0,867
1730954792,3,1178,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,53.7,0,0,867
1730954990,3,1178,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,53.7,0,0,867
1730955188,3,1168,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29,53.7,0,0,867
1730955386,3,1171,1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,53.6,0,0,867
1730955584,3,1173,1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,53.7,0,0,867
1730955782,3,1196,1196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,53.7,0,0,867
1730955980,3,1192,1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,53.6,0,0,868
1730956178,3,1204,1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,53.6,0,0,867
1730956376,3,1181,1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.36,53.5,0,0,867
1730956574,3,1189,1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34,53.6,0,0,867
